DEPT,GR
806.0,92.4453
807.0,98.2682
808.0,99.8998
809.0,94.208
810.0,89.2139
811.0,105.9601
812.0,92.4137
813.0,101.8558
814.0,105.9869
815.0,101.7035
816.0,94.2368
817.0,99.3797
818.0,108.4262
819.0,95.4192
820.0,98.638
821.0,100.1423
822.0,96.3524
823.0,96.8741
824.0,91.2123
825.0,98.6358
826.0,99.8764
827.0,97.129
828.0,97.6874
829.0,104.3553
830.0,97.9764
831.0,95.7304
832.0,93.2677
833.0,99.389
834.0,105.4297
835.0,106.4276
836.0,104.7174
837.0,99.936
838.0,97.992
839.0,98.5035
840.0,96.389
841.0,104.674
842.0,99.5675
843.0,96.7334
844.0,99.1683
845.0,101.9619
846.0,99.93
847.0,94.8542
848.0,100.1162
849.0,103.817
850.0,100.3892
851.0,99.8413
852.0,98.8271
853.0,99.5035
854.0,92.4822
855.0,98.0554
856.0,99.8997
857.0,91.1828
858.0,94.7363
859.0,97.5223
860.0,93.5335
861.0,99.2256
862.0,100.8763
863.0,96.9993
864.0,98.6718
865.0,95.659
866.0,100.2596
867.0,107.4865
868.0,98.0309
869.0,110.3992
870.0,110.6746
871.0,100.6801
872.0,100.2074
873.0,97.5345
874.0,100.1064
875.0,102.0516
876.0,99.8413
877.0,97.3228
878.0,95.7067
879.0,92.3531
880.0,90.7153
881.0,108.0776
882.0,112.3506
883.0,106.4001
884.0,102.367
885.0,104.0199
886.0,104.7827
887.0,114.3763
888.0,109.0726
889.0,113.6218
890.0,121.5983
891.0,109.5712
892.0,110.7697
893.0,96.743
894.0,98.6567
895.0,93.8088
896.0,90.9172
897.0,92.0642
898.0,85.0423
899.0,93.9749
900.0,103.0871
901.0,104.1006
902.0,107.4701
903.0,102.8734
904.0,100.5469
905.0,94.6493
906.0,94.8925
907.0,102.4127
908.0,96.8238
909.0,88.3871
910.0,91.7709
911.0,80.4601
912.0,79.9607
913.0,88.9199
914.0,96.4348
915.0,95.9779
916.0,91.2418
917.0,98.3415
918.0,95.3525
919.0,99.0547
920.0,102.485
921.0,98.2611
922.0,98.0346
923.0,95.4502
924.0,90.8706
925.0,94.4683
926.0,98.7886
927.0,94.8536
928.0,106.8307
929.0,102.7267
930.0,98.2129
931.0,111.5716
932.0,103.4909
933.0,103.0004
934.0,97.0084
935.0,103.0899
936.0,101.813
937.0,110.7472
938.0,105.3893
939.0,100.3184
940.0,97.2619
941.0,94.8906
942.0,99.6804
943.0,107.1968
944.0,99.3111
945.0,99.1431
946.0,111.7067
947.0,112.3612
948.0,107.1341
949.0,97.2875
950.0,104.7552
951.0,100.6345
952.0,106.1715
953.0,110.8054
954.0,101.7231
955.0,99.7003
956.0,106.6331
957.0,102.4276
958.0,101.4924
